1	2
10	4
100	0
101	8
102	4
103	3
104	2
105	6
106	7
107	8
108	9
109	1
11	9
110	4
111	3
112	4
113	8
114	4
115	7
116	3
117	7
118	9
119	7
12	0
120	4
121	6
122	6
123	6
124	2
125	8
126	7
127	9
128	0
129	7
13	2
130	1
131	8
132	1
133	5
134	8
135	6
136	3
137	0
138	0
139	2
14	5
140	1
141	1
142	7
143	1
144	4
145	2
146	4
147	2
148	4
149	3
15	6
150	2
151	0
152	2
153	2
154	2
155	2
156	9
157	8
158	3
159	8
16	1
160	5
161	6
162	7
163	1
164	3
165	8
166	0
167	9
168	7
169	5
17	2
170	6
171	9
172	4
173	7
174	8
175	1
176	6
177	1
178	6
179	4
18	5
180	3
181	0
182	0
183	0
184	3
185	3
186	4
187	8
188	9
189	6
19	0
190	9
191	2
192	5
193	1
194	2
195	9
196	5
197	8
198	1
199	8
2	7
20	7
200	8
201	3
202	8
203	2
204	3
205	3
206	9
207	1
208	5
209	9
21	5
210	0
211	6
212	4
213	5
214	1
215	4
216	8
217	8
218	0
219	6
22	4
220	9
221	5
222	1
223	3
224	2
225	8
226	7
227	5
228	5
229	9
23	0
230	6
231	8
232	2
233	1
234	1
235	9
236	7
237	8
238	4
239	6
24	1
240	3
241	4
242	7
243	0
244	2
245	3
246	8
247	3
248	6
249	5
25	2
250	1
251	9
252	3
253	4
254	5
255	6
256	2
257	8
258	7
259	7
26	0
260	2
261	4
262	1
263	1
264	3
265	6
266	8
267	8
268	1
269	1
27	3
270	1
271	3
272	2
273	5
274	5
275	4
276	7
277	0
278	2
279	9
28	3
280	5
281	4
282	2
283	4
284	0
285	1
286	0
287	5
288	8
289	1
29	0
290	2
291	1
292	5
293	1
294	4
295	7
296	0
297	9
298	5
299	1
3	1
30	6
300	7
301	2
302	5
303	0
304	1
305	3
306	2
307	1
308	6
309	0
31	7
310	0
311	7
312	0
313	1
314	0
315	7
316	4
317	9
318	7
319	4
32	5
320	8
321	7
322	1
323	4
324	5
325	1
326	2
327	6
328	0
329	9
33	2
330	3
331	8
332	1
333	2
334	9
335	5
336	1
337	2
338	2
339	8
34	4
340	9
341	1
342	7
343	7
344	6
345	5
346	0
347	7
348	4
349	9
35	3
350	8
351	2
352	4
353	0
354	1
355	5
356	0
357	5
358	1
359	6
36	4
360	4
361	6
362	2
363	2
364	0
365	2
366	9
367	9
368	4
369	8
37	5
370	6
371	7
372	0
373	1
374	1
375	7
376	8
377	7
378	5
379	8
38	0
380	4
381	1
382	4
383	5
384	2
385	7
386	0
387	4
388	8
389	2
39	8
390	3
391	2
392	3
393	2
394	0
395	9
396	0
397	0
398	4
399	0
4	1
40	2
400	6
401	4
402	4
403	8
404	5
405	0
406	6
407	7
408	6
409	8
41	6
410	8
411	3
412	3
413	8
414	4
415	0
416	9
417	0
418	5
419	0
42	9
420	4
421	4
422	8
423	3
424	6
425	3
426	5
427	7
428	2
429	3
43	0
430	4
431	6
432	5
433	7
434	8
435	4
436	8
437	2
438	4
439	7
44	2
440	5
441	1
442	5
443	9
444	3
445	7
446	4
447	0
448	4
449	5
45	9
450	3
451	3
452	6
453	6
454	7
455	5
456	2
457	2
458	1
459	0
46	6
460	4
461	6
462	7
463	0
464	2
465	6
466	9
467	2
468	1
469	4
47	8
470	4
471	3
472	9
473	7
474	1
475	0
476	9
477	9
478	4
479	6
48	2
480	3
481	0
